Typed (SP, JIT, SF)	Typed (SP, JIT)	Typed (SP)	Typed (JIT, SF)	Typed (JIT)	Typed ()	TypedBasic (SP, JIT, SF)	TypedBasic (SP, JIT)	TypedBasic (SP)	TypedBasic (JIT, SF)	TypedBasic (JIT)	TypedBasic ()	TypedBasic2 (SP, JIT, SF)	TypedBasic2 (SP, JIT)	TypedBasic2 (SP)	TypedBasic2 (JIT, SF)	TypedBasic2 (JIT)	TypedBasic2 ()	Original (JIT, SF)	Original (JIT)	Original ()
0.3	0.4	1.32	0.51	0.64	1.02	0.6	0.74	1.32	0.69	0.82	1.27	0.54	0.66	1.38	0.61	0.76	1.17	0.64	0.78	1.22
0.32	0.39	1.23	0.54	0.64	1	0.59	0.74	1.32	0.67	0.84	1.27	0.51	0.62	1.44	0.61	0.75	1.25	0.64	0.81	1.25
0.31	0.4	1.24	0.54	0.64	0.99	0.57	0.71	1.31	0.7	0.89	1.23	0.55	0.69	1.41	0.6	0.82	1.17	0.63	0.81	1.23
0.3	0.42	1.31	0.56	0.65	1.02	0.58	0.74	1.23	0.73	0.82	1.26	0.54	0.69	1.41	0.63	0.75	1.16	0.62	0.79	1.2
0.28	0.4	1.24	0.52	0.65	0.96	0.6	0.71	1.32	0.71	0.84	1.26	0.54	0.7	1.41	0.65	0.75	1.17	0.67	0.81	1.23
0.28	0.39	1.24	0.55	0.65	0.98	0.59	0.73	1.4	0.71	0.84	1.23	0.55	0.67	1.4	0.66	0.75	1.15	0.7	0.8	1.23
0.29	0.4	1.27	0.55	0.68	0.97	0.56	0.7	1.37	0.71	0.85	1.35	0.52	0.67	1.43	0.61	0.75	1.15	0.68	0.78	1.34
0.3	0.42	1.29	0.53	0.67	1	0.58	0.69	1.3	0.71	0.82	1.31	0.52	0.66	1.4	0.62	0.75	1.18	0.66	0.79	1.22
0.29	0.39	1.28	0.53	0.69	0.99	0.58	0.69	1.27	0.69	0.81	1.34	0.52	0.64	1.51	0.65	0.76	1.18	0.69	0.85	1.23
0.28	0.42	1.32	0.51	0.64	0.99	0.6	0.73	1.39	0.68	0.8	1.33	0.5	0.65	1.41	0.62	0.79	1.15	0.68	0.79	1.24
