Typed (SP, JIT, SF)	Typed (SP, JIT)	Typed (SP)	Typed (JIT, SF)	Typed (JIT)	Typed ()	TypedBasic (SP, JIT, SF)	TypedBasic (SP, JIT)	TypedBasic (SP)	TypedBasic (JIT, SF)	TypedBasic (JIT)	TypedBasic ()	TypedBasic2 (SP, JIT, SF)	TypedBasic2 (SP, JIT)	TypedBasic2 (SP)	TypedBasic2 (JIT, SF)	TypedBasic2 (JIT)	TypedBasic2 ()	Original (JIT, SF)	Original (JIT)	Original ()
1.27	1.39	34.69	40.74	41	48.23	2.77	2.83	6.18	2.89	2.86	4.07	2.48	2.52	7.28	3.16	3.08	4.59	2.81	2.94	4.02
1.32	1.25	34.35	40.23	40.94	49.03	2.85	2.8	6.12	2.94	2.9	4.06	2.52	2.48	7.28	3.26	3.08	4.51	2.66	2.85	4.22
1.28	1.26	34.67	40.74	40.65	49.42	2.79	2.77	6.38	2.87	2.86	4.1	2.47	2.53	7.24	3.11	3.18	4.59	2.69	2.78	4.01
1.23	1.31	35.71	40.94	39.7	49.35	2.87	2.81	6.23	2.87	2.85	4.29	2.48	2.57	7.35	3.18	3.14	4.73	2.75	2.8	4.01
1.28	1.38	34.85	39.59	40.46	49.18	2.85	2.84	6.17	2.92	2.81	4.14	2.5	2.56	7.34	3.14	3.12	4.63	2.75	2.92	4.07
1.26	1.34	33.96	40.45	39.99	47.79	2.87	2.8	6.21	2.94	2.8	4.06	2.43	2.47	7.17	3.23	3.09	4.53	2.78	2.83	4.36
1.26	1.23	34.65	40.78	40.97	49.7	2.92	2.76	6.04	3.11	3.05	4.08	2.47	2.69	7.18	3.41	3.21	4.48	2.84	2.81	4.19
1.27	1.35	33.83	40.96	41.78	47.92	2.78	2.76	6.13	3.1	2.86	4.19	2.47	2.45	7.14	3.43	3.14	4.53	2.7	2.86	4.25
1.23	1.4	36.23	40.49	40.29	48.68	2.84	2.76	6.13	2.87	2.96	4.31	2.43	2.55	7.23	3.08	3.24	4.53	2.76	2.78	4.08
1.23	1.27	36.05	40.72	40.11	48.29	2.92	2.79	6.17	2.91	2.96	4.1	2.52	2.49	7.2	3.16	3.18	4.45	2.89	2.76	4.16
