Out Static	Out Nonstatic	In Static	In Nonstatic
1	32	0	6
1	8	0	15
0	5	0	308
2	46	0	1
0	16	2	47
23	20	0	753
1	34	21	124
3	37	1	6
3	28	1	9
6	34	0	49
0	4	0	18
4	25	0	2
0	6	1	6
3	20	5	34
7	13	0	7
0	12	19	413
0	13	0	6
0	14	0	2
4	7	2	1
2	7	0	1
8	66	0	1
6	50	0	2
10	96	0	6
17	140	0	6
6	29	0	8
3	23	0	2
1	10	2	5
1	36	0	3
2	165	447	2621
1	60	5	99
0	7	2	2
5	67	0	395
9	9	26	2055
3	9	7	18
18	49	5	13
4	15	3	31
4	7	2	1
1	7	8	378
6	3	0	6
3	11	8	502
1	4	2	0
3	25	0	2
0	13	0	5
3	43	8	1562
1	9	0	1
0	21	0	5
0	12	0	1
0	46	0	2
0	9	0	1
0	19	0	2
0	13	0	2
0	11	0	1
1	12	0	1
1	13	0	1
0	13	0	1
1	11	0	1
1	26	0	3
3	31	2	22
0	9	0	1
0	13	0	1
0	9	0	1
1	6	0	2
0	10	0	3
6	52	0	3
0	10	2	43
3	37	1	20
7	47	0	34
1	9	0	1
0	2	2	4
12	23	6	18
22	48	1	16
3	12	0	0
3	12	0	1
3	12	1	0
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	0
3	12	0	4
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	0
3	12	1	0
3	12	0	1
3	12	0	3
3	12	0	2
3	12	0	1
3	12	0	3
3	12	0	2
3	12	0	1
3	12	0	0
3	12	1	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	4
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	0
3	12	0	1
3	12	0	0
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	2
3	12	1	1
3	12	0	2
3	12	0	2
3	12	1	3
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	1
3	12	0	2
3	12	0	1
3	12	0	0
3	12	0	2
3	12	0	1
3	12	0	2
3	12	0	2
3	12	0	3
